Time [s],SCK,RCK,SER
14.698510789,1,0,1
14.698799062,1,1,1
14.698806562,0,1,1
14.698818437,1,1,1
14.698829000,0,1,1
14.698840750,1,1,1
14.698851250,0,1,1
14.698899813,1,1,1
14.698910313,0,1,1
14.698922125,1,1,1
14.698932625,0,1,1
14.698944437,1,1,1
14.698954937,0,1,1
14.698966688,1,1,1
14.698977250,0,1,1
14.698989000,1,1,1
14.698999562,0,1,1
14.699001562,0,1,0
14.699011188,1,1,0
14.699315688,1,0,0
14.699320375,0,0,0
14.699332125,1,0,0
14.699342625,0,0,0
14.699354313,1,0,0
14.699364813,0,0,0
14.699376500,1,0,0
14.699387000,0,0,0
14.699388750,0,0,1
14.699398813,1,0,1
14.699409313,0,0,1
14.699411313,0,0,0
14.699421000,1,0,0
14.699431500,0,0,0
14.699443187,1,0,0
14.699453688,0,0,0
14.699502250,1,0,0
14.699512750,0,0,0
14.699514500,0,0,1
14.699524563,1,0,1
14.700793562,1,1,1
14.700800063,0,1,1
14.700811937,1,1,1
14.700822500,0,1,1
14.700834250,1,1,1
14.700844812,0,1,1
14.700856563,1,1,1
14.700903875,0,1,1
14.700915688,1,1,1
14.700926188,0,1,1
14.700937938,1,1,1
14.700948500,0,1,1
14.700960250,1,1,1
14.700970812,0,1,1
14.700972750,0,1,0
14.700982438,1,1,0
14.700993000,0,1,0
14.700994750,0,1,1
14.701004750,1,1,1
14.701311000,1,0,1
14.701315687,0,0,1
14.701317750,0,0,0
14.701327437,1,0,0
14.701337937,0,0,0
14.701339750,0,0,1
14.701349750,1,0,1
14.701360250,0,0,1
14.701372063,1,0,1
14.701382562,0,0,1
14.701394375,1,0,1
14.701404875,0,0,1
14.701406875,0,0,0
14.701416563,1,0,0
14.701427063,0,0,0
14.701438750,1,0,0
14.701449250,0,0,0
14.701497687,1,0,0
14.701508187,0,0,0
14.701519875,1,0,0
14.702788125,1,1,0
14.702794625,0,1,0
14.702796500,0,1,1
14.702806500,1,1,1
14.702817062,0,1,1
14.702828812,1,1,1
14.702839375,0,1,1
14.702851125,1,1,1
14.702903875,0,1,1
14.702905875,0,1,0
14.702915562,1,1,0
14.702926062,0,1,0
14.702927813,0,1,1
14.702937875,1,1,1
14.702948375,0,1,1
14.702960125,1,1,1
14.702970688,0,1,1
14.702982437,1,1,1
14.702993000,0,1,1
14.703004750,1,1,1
14.703306188,1,0,1
14.703310875,0,0,1
14.703322750,1,0,1
14.703333250,0,0,1
14.703345063,1,0,1
14.703355563,0,0,1
14.703367375,1,0,1
14.703377875,0,0,1
14.703389687,1,0,1
14.703400187,0,0,1
14.703412000,1,0,1
14.703422500,0,0,1
14.703434313,1,0,1
14.703444812,0,0,1
14.703493250,1,0,1
14.703503750,0,0,1
14.703515562,1,0,1
14.704782438,1,1,1
14.704788875,0,1,1
14.704800813,1,1,1
14.704811313,0,1,1
14.704813313,0,1,0
14.704823000,1,1,0
14.704833500,0,1,0
14.704835250,0,1,1
14.704845312,1,1,1
14.704892625,0,1,1
14.704904375,1,1,1
14.704914875,0,1,1
14.704926688,1,1,1
14.704937188,0,1,1
14.704949000,1,1,1
14.704959500,0,1,1
14.704971312,1,1,1
14.704981812,0,1,1
14.704993625,1,1,1
14.705301312,1,0,1
14.705306000,0,0,1
14.705317875,1,0,1
14.705328375,0,0,1
14.705340187,1,0,1
14.705350687,0,0,1
14.705362500,1,0,1
14.705373000,0,0,1
14.705384813,1,0,1
14.705395313,0,0,1
14.705407063,1,0,1
14.705417625,0,0,1
14.705429375,1,0,1
14.705439937,0,0,1
14.705488312,1,0,1
14.705498875,0,0,1
14.705510625,1,0,1
14.706776875,1,1,1
14.706783375,0,1,1
14.706785438,0,1,0
14.706795125,1,1,0
14.706805625,0,1,0
14.706807438,0,1,1
14.706817437,1,1,1
14.706827937,0,1,1
14.706839750,1,1,1
14.706887000,0,1,1
14.706898813,1,1,1
14.706909313,0,1,1
14.706921125,1,1,1
14.706931625,0,1,1
14.706943437,1,1,1
14.706953937,0,1,1
14.706965750,1,1,1
14.706976250,0,1,1
14.706988000,1,1,1
14.707296562,1,0,1
14.707301188,0,0,1
14.707313063,1,0,1
14.707323625,0,0,1
14.707325562,0,0,0
14.707335250,1,0,0
14.707345812,0,0,0
14.707347563,0,0,1
14.707357563,1,0,1
14.707368125,0,0,1
14.707379875,1,0,1
14.707390438,0,0,1
14.707402187,1,0,1
14.707412687,0,0,1
14.707414688,0,0,0
14.707424375,1,0,0
14.707434875,0,0,0
14.707436625,0,0,1
14.707483563,1,0,1
14.707494125,0,0,1
14.707505875,1,0,1
14.708771312,1,1,1
14.708777812,0,1,1
14.708789687,1,1,1
14.708800187,0,1,1
14.708812000,1,1,1
14.708822500,0,1,1
14.708834250,1,1,1
14.708881563,0,1,1
14.708893313,1,1,1
14.708903875,0,1,1
14.708905812,0,1,0
14.708905875,0,1,1
14.708905938,0,1,0
14.708915500,1,1,0
14.708926062,0,1,0
14.708927813,0,1,1
14.708937813,1,1,1
14.708948375,0,1,1
14.708960125,1,1,1
14.708970688,0,1,1
14.708982437,1,1,1
14.709291688,1,0,1
14.709296312,0,0,1
14.709308250,1,0,1
14.709318750,0,0,1
14.709330562,1,0,1
14.709341063,0,0,1
14.709352875,1,0,1
14.709363375,0,0,1
14.709375187,1,0,1
14.709385687,0,0,1
14.709397500,1,0,1
14.709408000,0,0,1
14.709419750,1,0,1
14.709430313,0,0,1
14.709478750,1,0,1
14.709489250,0,0,1
14.709501062,1,0,1
14.710765625,1,1,1
14.710772125,0,1,1
14.710784063,1,1,1
14.710794563,0,1,1
14.710806375,1,1,1
14.710816875,0,1,1
14.710818875,0,1,0
14.710828562,1,1,0
14.710875812,0,1,0
14.710877563,0,1,1
14.710887625,1,1,1
14.710898125,0,1,1
14.710909875,1,1,1
14.710920438,0,1,1
14.710932187,1,1,1
14.710942750,0,1,1
14.710954500,1,1,1
14.710965062,0,1,1
14.710976813,1,1,1
14.711286812,1,0,1
14.711291437,0,0,1
14.711303313,1,0,1
14.711313875,0,0,1
14.711325625,1,0,1
14.711336188,0,0,1
14.711347937,1,0,1
14.711358500,0,0,1
14.711370250,1,0,1
14.711380812,0,0,1
14.711392625,1,0,1
14.711403125,0,0,1
14.711414875,1,0,1
14.711425438,0,0,1
14.711473812,1,0,1
14.711484375,0,0,1
14.711496125,1,0,1
14.712177936,1,0,1
